user_id,vehicle_id,interaction_type,preference_score,rating,timestamp,session_id,implicit_feedback
user_084,car_170,view,0.3,,2025-03-08 15:45:06.036403,session_3024,0.5
user_070,car_161,view,0.3,,2025-07-02 15:45:06.037411,session_4366,0.5
user_004,car_200,view,0.3,,2025-04-17 15:45:06.038400,session_7895,0.5
user_065,car_075,favorite,0.9,,2025-05-03 15:45:06.039401,session_3247,0.8
user_025,car_094,view,0.3,,2024-12-31 15:45:06.040401,session_2928,0.5
user_046,car_127,like,0.7,,2025-01-07 15:45:06.040401,session_4254,1.0
user_064,car_098,view,0.3,,2024-12-25 15:45:06.041401,session_4304,0.5
user_014,car_088,inquiry,0.8,,2025-06-28 15:45:06.042416,session_1645,1.0
user_006,car_141,inquiry,0.8,,2024-10-01 15:45:06.042973,session_8875,0.8
user_081,car_094,view,0.3,3.0,2025-07-24 15:45:06.043526,session_9095,0.5
user_010,car_022,view,0.3,4.0,2025-07-29 15:45:06.044582,session_5192,0.6
user_022,car_148,inquiry,0.8,,2025-04-20 15:45:06.045583,session_5327,0.6
user_090,car_019,inquiry,0.8,4.0,2025-08-29 15:45:06.045583,session_5760,0.9
user_016,car_078,inquiry,0.8,,2025-02-12 15:45:06.046581,session_2898,1.0
user_056,car_146,view,0.3,,2025-08-26 15:45:06.047581,session_1158,0.5
user_082,car_078,purchase,1.0,,2025-06-23 15:45:06.048582,session_6384,1.0
user_067,car_035,view,0.3,,2024-11-04 15:45:06.048582,session_5395,0.5
user_075,car_120,like,0.7,3.0,2025-06-17 15:45:06.049536,session_2865,0.5
user_090,car_033,inquiry,0.8,,2025-05-02 15:45:06.051085,session_7319,0.8
user_099,car_071,favorite,0.9,,2025-02-15 15:45:06.052129,session_3732,0.8999999999999999
user_068,car_004,view,0.3,,2025-08-19 15:45:06.052129,session_3611,0.5
user_072,car_092,view,0.3,,2025-01-14 15:45:06.053679,session_8178,0.7999999999999999
user_032,car_155,view,0.3,,2025-03-19 15:45:06.053679,session_1472,0.5
user_047,car_190,inquiry,0.8,,2025-07-14 15:45:06.054688,session_8914,0.6
user_017,car_180,like,0.7,2.0,2025-08-26 15:45:06.055692,session_2037,0.5
user_011,car_083,like,0.7,,2024-09-23 15:45:06.056730,session_9598,0.7
user_088,car_084,favorite,0.9,,2024-12-03 15:45:06.057733,session_4669,0.8
user_001,car_061,like,0.7,,2025-03-29 15:45:06.057733,session_9504,0.5
user_032,car_081,view,0.3,,2025-08-01 15:45:06.059694,session_8091,0.5
user_059,car_045,view,0.3,2.0,2024-10-07 15:45:06.060731,session_7305,0.5
user_003,car_142,view,0.3,,2024-11-09 15:45:06.060731,session_1894,0.5
user_048,car_067,view,0.3,,2025-01-03 15:45:06.062691,session_8688,1.0
user_007,car_128,inquiry,0.8,,2025-08-11 15:45:06.064244,session_9055,0.7
user_040,car_081,view,0.3,,2025-04-29 15:45:06.065310,session_1824,0.5
user_008,car_177,view,0.3,,2025-03-09 15:45:06.066308,session_7607,0.5
user_063,car_129,like,0.7,2.0,2024-11-29 15:45:06.067295,session_8341,0.5
user_020,car_010,view,0.3,,2025-04-10 15:45:06.068295,session_2944,0.5
user_083,car_097,like,0.7,,2025-09-09 15:45:06.069256,session_2681,0.5
user_015,car_198,view,0.3,3.0,2025-08-03 15:45:06.070255,session_5990,0.5
user_057,car_199,like,0.7,,2024-10-18 15:45:06.072254,session_8474,0.5
user_096,car_127,favorite,0.9,,2025-08-22 15:45:06.073257,session_4652,0.7999999999999999
user_090,car_058,favorite,0.9,,2024-11-05 15:45:06.073257,session_8751,0.8
user_090,car_176,like,0.7,,2025-01-30 15:45:06.073257,session_2868,0.5
user_039,car_080,view,0.3,,2025-09-17 15:45:06.074806,session_6592,0.5
user_049,car_036,inquiry,0.8,,2025-04-22 15:45:06.076565,session_9973,1.0
user_051,car_069,like,0.7,,2025-08-26 15:45:06.077616,session_3689,0.7999999999999999
user_007,car_018,inquiry,0.8,,2025-02-21 15:45:06.078583,session_2752,1.0
user_089,car_061,view,0.3,1.0,2025-03-01 15:45:06.079577,session_4532,0.5
user_086,car_067,inquiry,0.8,,2025-03-29 15:45:06.080592,session_2765,1.0
user_020,car_104,inquiry,0.8,4.0,2024-10-09 15:45:06.081576,session_3018,0.7999999999999999
user_079,car_120,like,0.7,,2024-10-16 15:45:06.081576,session_9260,0.5
user_024,car_125,like,0.7,,2024-12-21 15:45:06.082575,session_1795,1.0
user_009,car_134,like,0.7,,2024-11-23 15:45:06.083577,session_8912,0.7999999999999999
user_066,car_051,like,0.7,,2025-06-20 15:45:06.083577,session_3845,0.5
user_049,car_196,like,0.7,2.0,2024-11-15 15:45:06.085084,session_6273,0.1
user_078,car_043,view,0.3,,2024-11-11 15:45:06.087096,session_5067,0.19999999999999998
user_024,car_105,view,0.3,,2025-04-21 15:45:06.088099,session_8419,0.5
user_039,car_089,favorite,0.9,5.0,2024-12-30 15:45:06.089111,session_5897,1.0
user_058,car_082,like,0.7,,2025-04-11 15:45:06.091119,session_4560,0.5
user_006,car_010,view,0.3,,2025-04-23 15:45:06.092100,session_6657,0.5
user_098,car_109,like,0.7,3.0,2025-06-19 15:45:06.092100,session_9255,0.5
user_090,car_143,inquiry,0.8,,2024-09-20 15:45:06.093139,session_2890,0.8
user_067,car_063,favorite,0.9,,2024-11-24 15:45:06.094136,session_7839,0.8
user_050,car_018,inquiry,0.8,,2024-12-19 15:45:06.094136,session_5684,0.6
user_012,car_148,purchase,1.0,,2025-09-12 15:45:06.095646,session_9564,1.0
user_083,car_043,like,0.7,,2025-08-22 15:45:06.096663,session_1927,1.0
user_001,car_016,like,0.7,,2025-06-28 15:45:06.097699,session_5695,1.0
user_094,car_044,favorite,0.9,4.0,2025-04-20 15:45:06.098655,session_4342,1.0
user_019,car_091,like,0.7,3.0,2025-07-28 15:45:06.099655,session_4675,0.5
user_062,car_114,inquiry,0.8,,2025-05-20 15:45:06.099655,session_9370,0.6
user_020,car_078,like,0.7,,2025-04-24 15:45:06.100656,session_1769,0.3
user_049,car_139,purchase,1.0,,2024-10-03 15:45:06.101656,session_6122,1.0
user_012,car_026,purchase,1.0,5.0,2025-06-07 15:45:06.102662,session_8259,1.0
user_032,car_103,favorite,0.9,,2024-09-23 15:45:06.103657,session_7025,1.0
user_041,car_197,inquiry,0.8,,2024-11-14 15:45:06.104657,session_4218,0.6
user_012,car_168,like,0.7,,2025-04-21 15:45:06.104657,session_8353,0.5
user_055,car_067,like,0.7,,2025-06-15 15:45:06.107218,session_3847,1.0
user_083,car_143,inquiry,0.8,3.0,2025-04-29 15:45:06.108223,session_5329,0.7
user_009,car_090,view,0.3,,2025-05-11 15:45:06.109259,session_1092,0.5
user_025,car_067,like,0.7,,2025-07-01 15:45:06.109259,session_1654,0.7999999999999999
user_086,car_170,view,0.3,,2025-08-23 15:45:06.110258,session_5934,0.5
user_061,car_028,like,0.7,,2025-03-19 15:45:06.111218,session_2194,0.7
user_091,car_009,favorite,0.9,,2025-05-29 15:45:06.112262,session_4012,0.9999999999999999
user_004,car_075,inquiry,0.8,,2025-06-29 15:45:06.112262,session_7814,1.0
user_039,car_144,inquiry,0.8,,2025-03-24 15:45:06.113258,session_4624,0.9
user_034,car_172,like,0.7,,2025-04-02 15:45:06.114255,session_6911,0.5
user_034,car_026,view,0.3,,2024-11-06 15:45:06.115259,session_9691,0.5
user_089,car_089,inquiry,0.8,,2024-10-21 15:45:06.115259,session_1144,0.9
user_040,car_166,like,0.7,,2025-05-18 15:45:06.116808,session_4994,1.0
user_080,car_188,purchase,1.0,,2025-04-07 15:45:06.116808,session_7248,0.8
user_009,car_011,favorite,0.9,,2025-03-05 15:45:06.117859,session_5203,0.7
user_084,car_120,view,0.3,4.0,2025-03-11 15:45:06.118819,session_9426,0.5
user_061,car_199,inquiry,0.8,,2025-08-27 15:45:06.120819,session_5856,0.7
